department_name,geographic_region,name,normalised_path,path,url,financial_year,sphere
Co-operative Governance and Traditional Affairs,KwaZulu-Natal,Vote 11 : Co-operative Governance and Traditional Affairs,etl-data/normalised/2017/KwaZulu-Natal/Vote 11 : Co-operative Governance and Traditional Affairs.xlsm,etl-data/2017/KwaZulu-Natal/KZN - COGTA.xlsm,,2017,provincial
Co-operative Governance and Traditional Affairs,KwaZulu-Natal,Vote 11 : Co-operative Governance and Traditional Affairs,,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 11 - Co-op Gov., and Trad Affairs.pdf",2017,provincial
Transport,KwaZulu-Natal,Vote 12 : Transport,etl-data/normalised/2017/KwaZulu-Natal/Vote 12 : Transport.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Transport.xlsm,,2017,provincial
Transport,KwaZulu-Natal,Vote 12 : Transport,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 12 - Transport.pdf,2017,provincial
Social Development,KwaZulu-Natal,Vote 13 : Social Development,etl-data/normalised/2017/KwaZulu-Natal/Vote 13 : Social Development.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Social Development.xlsm,,2017,provincial
Social Development,KwaZulu-Natal,Vote 13 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 13 - Social Development.pdf,2017,provincial
Public Works,KwaZulu-Natal,Vote 14 : Public Works,etl-data/normalised/2017/KwaZulu-Natal/Vote 14 : Public Works.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Public Works.xlsm,,2017,provincial
Public Works,KwaZulu-Natal,Vote 14 : Public Works,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 14 - Public Works.pdf,2017,provincial
Arts and Culture,KwaZulu-Natal,Vote 15 : Arts and Culture,etl-data/normalised/2017/KwaZulu-Natal/Vote 15 : Arts and Culture.xlsm,etl-data/2017/KwaZulu-Natal/KZN - Arts and Culture.xlsm,,2017,provincial
Arts and Culture,KwaZulu-Natal,Vote 15 : Arts and Culture,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/KZN - Vote 15 - Arts and Culture.pdf,2017,provincial
Office of the Premier,Limpopo,Vote 01 : Office of the Premier,etl-data/normalised/2017/Limpopo/Vote 01 : Office of the Premier.xlsm,etl-data/2017/Limpopo/LIM - Office of the Premier.xlsm,,2017,provincial
Office of the Premier,Limpopo,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 01 - Office of the Premier.pdf,2017,provincial
Limpopo Legislature,Limpopo,Vote 02 : Limpopo Legislature,etl-data/normalised/2017/Limpopo/Vote 02 : Limpopo Legislature.xlsm,etl-data/2017/Limpopo/LIM - Limpopo Legislature.xlsm,,2017,provincial
Limpopo Legislature,Limpopo,Vote 02 : Limpopo Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 02 - Limpopo Legislature.pdf,2017,provincial
Education,Limpopo,Vote 03 : Education,etl-data/normalised/2017/Limpopo/Vote 03 : Education.xlsm,etl-data/2017/Limpopo/LIM - Education.xlsm,,2017,provincial
Education,Limpopo,Vote 03 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 03 - Education.pdf,2017,provincial
Agriculture and Rural Development,Limpopo,Vote 04 : Agriculture and Rural Development,etl-data/normalised/2017/Limpopo/Vote 04 : Agriculture and Rural Development.xlsm,etl-data/2017/Limpopo/LIM - Agriculture.xlsm,,2017,provincial
Agriculture and Rural Development,Limpopo,Vote 04 : Agriculture and Rural Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 04 - Agriculture and Rural Development.pdf,2017,provincial
Provincial Treasury,Limpopo,Vote 05 : Provincial Treasury,etl-data/normalised/2017/Limpopo/Vote 05 : Provincial Treasury.xlsm,etl-data/2017/Limpopo/LIM - Provincial Treasury.xlsm,,2017,provincial
Provincial Treasury,Limpopo,Vote 05 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 05 - Provincial Treasury.pdf,2017,provincial
"Economic Development, Environmental Affairs and Tourism",Limpopo,"Vote 06 : Economic Development, Environmental Affairs and Tourism","etl-data/normalised/2017/Limpopo/Vote 06 : Economic Development, Environmental Affairs and Tourism.xlsm","etl-data/2017/Limpopo/LIM - Eco. Dev., Env. and Tourism.xlsm",,2017,provincial
"Economic Development, Environmental Affairs and Tourism",Limpopo,"Vote 06 : Economic Development, Environmental Affairs and Tourism",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 06 - Economic Dev., Environ. & Tourism.pdf",2017,provincial
Health,Limpopo,Vote 07 : Health,etl-data/normalised/2017/Limpopo/Vote 07 : Health.xlsm,etl-data/2017/Limpopo/LIM - Health.xlsm,,2017,provincial
Health,Limpopo,Vote 07 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 07 - Health.pdf,2017,provincial
Transport,Limpopo,Vote 08 : Transport,etl-data/normalised/2017/Limpopo/Vote 08 : Transport.xlsm,etl-data/2017/Limpopo/LIM - Transport.xlsm,,2017,provincial
Transport,Limpopo,Vote 08 : Transport,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 08 - Transport.pdf,2017,provincial
"Public Works, Roads and Infrastructure",Limpopo,"Vote 09 : Public Works, Roads and Infrastructure","etl-data/normalised/2017/Limpopo/Vote 09 : Public Works, Roads and Infrastructure.xlsm","etl-data/2017/Limpopo/LIM - Public Works, Roads and Infrastructure.xlsm",,2017,provincial
"Public Works, Roads and Infrastructure",Limpopo,"Vote 09 : Public Works, Roads and Infrastructure",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 09 - Public Works, Roads & Infrastructure.pdf",2017,provincial
"Safety, Security and Liaison",Limpopo,"Vote 10 : Safety, Security and Liaison","etl-data/normalised/2017/Limpopo/Vote 10 : Safety, Security and Liaison.xlsm","etl-data/2017/Limpopo/LIM - Safety, Security and Liaison.xlsm",,2017,provincial
"Safety, Security and Liaison",Limpopo,"Vote 10 : Safety, Security and Liaison",,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 10 - Safety and Security.pdf,2017,provincial
"Co-operative Governance, Human Settlement and Traditional Affairs",Limpopo,"Vote 11 : Co-operative Governance, Human Settlement and Traditional Affairs","etl-data/normalised/2017/Limpopo/Vote 11 : Co-operative Governance, Human Settlement and Traditional Affairs.xlsm","etl-data/2017/Limpopo/LIM - CoG, HS and Trad. Affairs.xlsm",,2017,provincial
"Co-operative Governance, Human Settlement and Traditional Affairs",Limpopo,"Vote 11 : Co-operative Governance, Human Settlement and Traditional Affairs",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 11 - Coop Gov, HS & Environment.pdf",2017,provincial
Social Development,Limpopo,Vote 12 : Social Development,etl-data/normalised/2017/Limpopo/Vote 12 : Social Development.xlsm,etl-data/2017/Limpopo/LIM - Social Development.xlsm,,2017,provincial
Social Development,Limpopo,Vote 12 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 12 - Social Development.pdf,2017,provincial
"Sport, Arts and Culture",Limpopo,"Vote 13 : Sport, Arts and Culture","etl-data/normalised/2017/Limpopo/Vote 13 : Sport, Arts and Culture.xlsm","etl-data/2017/Limpopo/LIM - Sport, Arts and Culture.xlsm",,2017,provincial
"Sport, Arts and Culture",Limpopo,"Vote 13 : Sport, Arts and Culture",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/LIM - Vote 13 - Sport, Art & Culture.pdf",2017,provincial
Office of the Premier,Mpumalanga,Vote 01 : Office of the Premier,etl-data/normalised/2017/Mpumalanga/Vote 01 : Office of the Premier.xlsm,etl-data/2017/Mpumalanga/MPU - Office of the Premier.xlsm,,2017,provincial
Office of the Premier,Mpumalanga,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 01 - Office of the Premier.pdf,2017,provincial
Mpumalanga Provincial Legislature,Mpumalanga,Vote 02 : Mpumalanga Provincial Legislature,etl-data/normalised/2017/Mpumalanga/Vote 02 : Mpumalanga Provincial Legislature.xlsm,etl-data/2017/Mpumalanga/MPU - Provincial Legislature.xlsm,,2017,provincial
Mpumalanga Provincial Legislature,Mpumalanga,Vote 02 : Mpumalanga Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 02 - Provincial Legislature.pdf,2017,provincial
Provincial Treasury,Mpumalanga,Vote 03 : Provincial Treasury,etl-data/normalised/2017/Mpumalanga/Vote 03 : Provincial Treasury.xlsm,etl-data/2017/Mpumalanga/MPU - Finance.xlsm,,2017,provincial
Provincial Treasury,Mpumalanga,Vote 03 : Provincial Treasury,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 03 - Provincial Treasury.pdf,2017,provincial
Co-operative Governance and Traditional Affairs,Mpumalanga,Vote 04 : Co-operative Governance and Traditional Affairs,etl-data/normalised/2017/Mpumalanga/Vote 04 : Co-operative Governance and Traditional Affairs.xlsm,etl-data/2017/Mpumalanga/MPU - CoGTA.xlsm,,2017,provincial
Co-operative Governance and Traditional Affairs,Mpumalanga,Vote 04 : Co-operative Governance and Traditional Affairs,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 04 - Co-operative Governance and Traditional Aff.pdf,2017,provincial
"Agricultural, Rural Development and Land Administration",Mpumalanga,"Vote 05 : Agricultural, Rural Development and Land Administration","etl-data/normalised/2017/Mpumalanga/Vote 05 : Agricultural, Rural Development and Land Administration.xlsm","etl-data/2017/Mpumalanga/MPU - Agric., Rural Dev., Land and Env. Affairs.xlsm",,2017,provincial
"Agricultural, Rural Development and Land Administration",Mpumalanga,"Vote 05 : Agricultural, Rural Development and Land Administration",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 05 - Agriculture, Rural deve, Land and Environ.pdf",2017,provincial
"Economic Development, Environment and Tourism",Mpumalanga,"Vote 06 : Economic Development, Environment and Tourism","etl-data/normalised/2017/Mpumalanga/Vote 06 : Economic Development, Environment and Tourism.xlsm",etl-data/2017/Mpumalanga/MPU - Eco. Development and Tourism.xlsm,,2017,provincial
"Economic Development, Environment and Tourism",Mpumalanga,"Vote 06 : Economic Development, Environment and Tourism",,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 06 - Economic Development and Tourism.pdf,2017,provincial
Education,Mpumalanga,Vote 07 : Education,etl-data/normalised/2017/Mpumalanga/Vote 07 : Education.xlsm,etl-data/2017/Mpumalanga/MPU - Education.xlsm,,2017,provincial
Education,Mpumalanga,Vote 07 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 07 - Education.pdf,2017,provincial
"Public Works, Roads and Transport",Mpumalanga,"Vote 08 : Public Works, Roads and Transport","etl-data/normalised/2017/Mpumalanga/Vote 08 : Public Works, Roads and Transport.xlsm","etl-data/2017/Mpumalanga/MPU - Public Works, Roads and Transport.xlsm",,2017,provincial
"Public Works, Roads and Transport",Mpumalanga,"Vote 08 : Public Works, Roads and Transport",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 08 - Public Works, Roads and Transport.pdf",2017,provincial
"Community Safety, Security and Liaison",Mpumalanga,"Vote 09 : Community Safety, Security and Liaison","etl-data/normalised/2017/Mpumalanga/Vote 09 : Community Safety, Security and Liaison.xlsm","etl-data/2017/Mpumalanga/MPU - Comm. Safety, Sec. and Liaison.xlsm",,2017,provincial
"Community Safety, Security and Liaison",Mpumalanga,"Vote 09 : Community Safety, Security and Liaison",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 09 - Community Safety, Security and Liaison.pdf",2017,provincial
Health,Mpumalanga,Vote 10 : Health,etl-data/normalised/2017/Mpumalanga/Vote 10 : Health.xlsm,etl-data/2017/Mpumalanga/MPU - Health.xlsm,,2017,provincial
Health,Mpumalanga,Vote 10 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 10 - Health.pdf,2017,provincial
"Culture, Sport and Recreation",Mpumalanga,"Vote 11 : Culture, Sport and Recreation","etl-data/normalised/2017/Mpumalanga/Vote 11 : Culture, Sport and Recreation.xlsm","etl-data/2017/Mpumalanga/MPU - Culture, Sport and Recreation.xlsm",,2017,provincial
"Culture, Sport and Recreation",Mpumalanga,"Vote 11 : Culture, Sport and Recreation",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 11 - Culture, Sport and Recreation.pdf",2017,provincial
Social Development,Mpumalanga,Vote 12 : Social Development,etl-data/normalised/2017/Mpumalanga/Vote 12 : Social Development.xlsm,etl-data/2017/Mpumalanga/MPU - Social Development.xlsm,,2017,provincial
Social Development,Mpumalanga,Vote 12 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 12 - Social Development.pdf,2017,provincial
Human Settlements,Mpumalanga,Vote 13 : Human Settlements,etl-data/normalised/2017/Mpumalanga/Vote 13 : Human Settlements.xlsm,etl-data/2017/Mpumalanga/MPU - Human Settlements.xlsm,,2017,provincial
Human Settlements,Mpumalanga,Vote 13 : Human Settlements,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/MPU - Vote 13 - Human Settlements.pdf,2017,provincial
Office of the Premier,North West,Vote 01 : Office of the Premier,etl-data/normalised/2017/North West/Vote 01 : Office of the Premier.xlsm,etl-data/2017/North West/NW - Office of the Premier.xlsm,,2017,provincial
Office of the Premier,North West,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 01 - Office of The Premier.pdf,2017,provincial
Provincial Legislature,North West,Vote 02 : Provincial Legislature,etl-data/normalised/2017/North West/Vote 02 : Provincial Legislature.xlsm,etl-data/2017/North West/NW - Legislature.xlsm,,2017,provincial
Provincial Legislature,North West,Vote 02 : Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 02 - Legislature.pdf,2017,provincial
Health,North West,Vote 03 : Health,etl-data/normalised/2017/North West/Vote 03 : Health.xlsm,etl-data/2017/North West/NW - Health.xlsm,,2017,provincial
Health,North West,Vote 03 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 03 - Health.pdf,2017,provincial
"Culture, Arts and Traditional Affairs",North West,"Vote 04 : Culture, Arts and Traditional Affairs","etl-data/normalised/2017/North West/Vote 04 : Culture, Arts and Traditional Affairs.xlsm","etl-data/2017/North West/NW - Culture, Arts and Trad.xlsm",,2017,provincial
"Culture, Arts and Traditional Affairs",North West,"Vote 04 : Culture, Arts and Traditional Affairs",,,"http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 04 - Culture, Arts and Traditional Affairs.pdf",2017,provincial
Finance,North West,Vote 07 : Finance,etl-data/normalised/2017/North West/Vote 07 : Finance.xlsm,etl-data/2017/North West/NW - Finance.xlsm,,2017,provincial
Community Safety and Transport Management,North West,Vote 05 : Community Safety and Transport Management,etl-data/normalised/2017/North West/Vote 05 : Community Safety and Transport Management.xlsm,etl-data/2017/North West/NW - Comm. Safety and Transport Mgt..xlsm,,2017,provincial
Community Safety and Transport Management,North West,Vote 05 : Community Safety and Transport Management,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/NW - Vote 05 - Community Safety and Transport Management.pdf,2017,provincial
